Molecule-Batch ID,MSPlate,Concentration,Cmpd Activity,Nr. Down,Cell line,Sample Condition
SRB-0000035-001,Pw02,0.1,Single (1),25,HEK293,WT
SRB-0000035-001,Pw03,0.1,Low (2-10),7,HEK293,WT
SRB-0000035-001,Pw10MLN,0.1,Low (2-10),22,HEK293,WT
SRB-0000035-001,Pw10WT,10.0,Low (2-10),30,HEK293,WT
SRB-0000035-001,Pw10KO,10.0,Low (2-10),0,HEK293,WT
SRB-0000035-001,Pw11KO,0.1,Low (2-10),29,HEK293,WT
SRB-0000035-001,Pw11WT,0.1,Low (2-10),24,HEK293,WT
SRB-0000036-001,Pw00,1.0,Low (2-10),25,HEK293,WT
SRB-0000036-001,Pw01,0.1,Low (2-10),38,HEK293,WT
SRB-0000036-001,Pw02,1.0,High (>25),26,HEK293,WT
SRB-0000036-001,Pw03,0.1,Low (2-10),19,HEK293,WT
SRB-0000036-001,Pw10MLN,10.0,Low (2-10),22,HEK293,WT
SRB-0000036-001,Pw10WT,10.0,Low (2-10),9,HEK293,WT
SRB-0000036-001,Pw10KO,0.1,Low (2-10),15,HEK293,WT
SRB-0000036-001,Pw11KO,1.0,Low (2-10),29,HEK293,WT
SRB-0000036-001,Pw11WT,0.1,Low (2-10),30,HEK293,WT
SRB-0000037-001,Pw00,1.0,Low (2-10),17,HEK293,WT
SRB-0000037-001,Pw01,0.1,Low (2-10),10,HEK293,WT
SRB-0000037-001,Pw02,10.0,Medium (11-25),13,HEK293,WT
SRB-0000037-001,Pw03,0.1,Silent,2,HEK293,WT
SRB-0000037-001,Pw10MLN,1.0,Low (2-10),31,HEK293,WT
SRB-0000037-001,Pw10WT,0.1,Low (2-10),8,HEK293,WT
SRB-0000037-001,Pw10KO,0.1,Low (2-10),39,HEK293,WT
SRB-0000037-001,Pw11KO,1.0,Low (2-10),20,HEK293,WT
SRB-0000037-001,Pw11WT,10.0,Low (2-10),21,HEK293,WT
SRB-0000038-001,Pw00,10.0,Low (2-10),29,HEK293,WT
SRB-0000038-001,Pw01,1.0,High (>25),14,HEK293,WT
SRB-0000038-001,Pw02,1.0,Single (1),1,HEK293,WT
SRB-0000038-001,Pw03,0.1,Low (2-10),30,HEK293,WT
SRB-0000038-001,Pw10MLN,1.0,Low (2-10),21,HEK293,WT
SRB-0000038-001,Pw10WT,10.0,Low (2-10),2,HEK293,WT
SRB-0000038-001,Pw10KO,10.0,Low (2-10),9,HEK293,WT
SRB-0000038-001,Pw11KO,0.1,Low (2-10),37,HEK293,WT
SRB-0000038-001,Pw11WT,1.0,Low (2-10),26,HEK293,WT
SRB-0000039-001,Pw00,10.0,Silent,14,HEK293,WT
SRB-0000039-001,Pw01,1.0,High (>25),12,HEK293,WT
SRB-0000039-001,Pw02,0.1,High (>25),24,HEK293,WT
SRB-0000039-001,Pw03,0.1,High (>25),0,HEK293,WT
SRB-0000039-001,Pw10MLN,10.0,Low (2-10),23,HEK293,WT
SRB-0000039-001,Pw10WT,10.0,Low (2-10),23,HEK293,WT
SRB-0000039-001,Pw10KO,1.0,Low (2-10),15,HEK293,WT
SRB-0000039-001,Pw11KO,1.0,Low (2-10),39,HEK293,WT
SRB-0000039-001,Pw11WT,1.0,Low (2-10),33,HEK293,WT
