Batch Molecule-Batch ID,MSData - Proteomics activities: MSPlate,MSData - Proteomics activities: Concentration (uM),MSData - Proteomics activities: Cmpd Activity,MSData - Proteomics activities: Nr. Down,MSData - Proteomics activities: Cell line,MSData - Proteomics activities: Sample Condition
SRB-0000026-001,Pw02,1.0,Medium (11-25),9,HEK293,WT
SRB-0000026-001,Pw03,1.0,Single (1),18,HEK293,WT
SRB-0000026-001,Pw10MLN,0.1,Low (2-10),28,HEK293,WT
SRB-0000026-001,Pw10WT,0.1,Low (2-10),0,HEK293,WT
SRB-0000026-001,Pw10KO,1.0,Low (2-10),1,HEK293,WT
SRB-0000026-001,Pw11KO,1.0,Low (2-10),20,HEK293,WT
SRB-0000026-001,Pw11WT,0.1,Low (2-10),1,HEK293,WT
SRB-0000027-001,Pw00,0.1,Low (2-10),16,HEK293,WT
SRB-0000027-001,Pw01,10.0,Low (2-10),22,HEK293,WT
SRB-0000027-001,Pw02,0.1,Silent,3,HEK293,WT
SRB-0000027-001,Pw03,10.0,High (>25),2,HEK293,WT
SRB-0000027-001,Pw10MLN,10.0,Low (2-10),29,HEK293,WT
SRB-0000027-001,Pw10WT,1.0,Low (2-10),33,HEK293,WT
SRB-0000027-001,Pw10KO,0.1,Low (2-10),5,HEK293,WT
SRB-0000027-001,Pw11KO,0.1,Low (2-10),36,HEK293,WT
SRB-0000027-001,Pw11WT,0.1,Low (2-10),22,HEK293,WT
SRB-0000028-001,Pw00,10.0,High (>25),33,HEK293,WT
SRB-0000028-001,Pw01,10.0,Low (2-10),34,HEK293,WT
SRB-0000028-001,Pw02,10.0,High (>25),27,HEK293,WT
SRB-0000028-001,Pw03,1.0,High (>25),11,HEK293,WT
SRB-0000028-001,Pw10MLN,0.1,Low (2-10),31,HEK293,WT
SRB-0000028-001,Pw10WT,0.1,Low (2-10),9,HEK293,WT
SRB-0000028-001,Pw10KO,1.0,Low (2-10),5,HEK293,WT
SRB-0000028-001,Pw11KO,1.0,Low (2-10),12,HEK293,WT
SRB-0000028-001,Pw11WT,1.0,Low (2-10),33,HEK293,WT
SRB-0000029-001,Pw00,1.0,Low (2-10),32,HEK293,WT
SRB-0000029-001,Pw01,10.0,Low (2-10),30,HEK293,WT
SRB-0000029-001,Pw02,0.1,Single (1),34,HEK293,WT
SRB-0000029-001,Pw03,0.1,Medium (11-25),13,HEK293,WT
SRB-0000029-001,Pw10MLN,0.1,Low (2-10),29,HEK293,WT
SRB-0000029-001,Pw10WT,10.0,Low (2-10),23,HEK293,WT
SRB-0000029-001,Pw10KO,10.0,Low (2-10),15,HEK293,WT
SRB-0000029-001,Pw11KO,10.0,Low (2-10),7,HEK293,WT
SRB-0000029-001,Pw11WT,10.0,Low (2-10),34,HEK293,WT
SRB-0000030-001,Pw00,0.1,Single (1),14,HEK293,WT
SRB-0000030-001,Pw01,0.1,Medium (11-25),33,HEK293,WT
SRB-0000030-001,Pw02,10.0,Silent,30,HEK293,WT
SRB-0000030-001,Pw03,1.0,High (>25),34,HEK293,WT
SRB-0000030-001,Pw10MLN,1.0,Low (2-10),36,HEK293,WT
SRB-0000030-001,Pw10WT,1.0,Low (2-10),18,HEK293,WT
SRB-0000030-001,Pw10KO,10.0,Low (2-10),28,HEK293,WT
SRB-0000030-001,Pw11KO,10.0,Low (2-10),30,HEK293,WT
SRB-0000030-001,Pw11WT,0.1,Low (2-10),29,HEK293,WT
SRB-0000031-001,Pw00,10.0,Medium (11-25),31,HEK293,WT
SRB-0000031-001,Pw01,10.0,Single (1),21,HEK293,WT
SRB-0000031-001,Pw02,0.1,Single (1),27,HEK293,WT
SRB-0000031-001,Pw03,10.0,Single (1),26,HEK293,WT
SRB-0000031-001,Pw10MLN,1.0,Low (2-10),23,HEK293,WT
SRB-0000031-001,Pw10WT,1.0,Low (2-10),18,HEK293,WT
SRB-0000031-001,Pw10KO,10.0,Low (2-10),32,HEK293,WT
SRB-0000031-001,Pw11KO,0.1,Low (2-10),9,HEK293,WT
SRB-0000031-001,Pw11WT,1.0,Low (2-10),23,HEK293,WT
SRB-0000032-001,Pw00,10.0,Single (1),2,HEK293,WT
SRB-0000032-001,Pw01,0.1,Silent,22,HEK293,WT
SRB-0000032-001,Pw02,1.0,Silent,7,HEK293,WT
SRB-0000032-001,Pw03,0.1,Medium (11-25),18,HEK293,WT
SRB-0000032-001,Pw10MLN,10.0,Low (2-10),2,HEK293,WT
SRB-0000032-001,Pw10WT,0.1,Low (2-10),21,HEK293,WT
SRB-0000032-001,Pw10KO,10.0,Low (2-10),25,HEK293,WT
SRB-0000032-001,Pw11KO,10.0,Low (2-10),5,HEK293,WT
SRB-0000032-001,Pw11WT,0.1,Low (2-10),31,HEK293,WT
SRB-0000033-001,Pw00,0.1,Low (2-10),37,HEK293,WT
SRB-0000033-001,Pw01,1.0,Silent,5,HEK293,WT
SRB-0000033-001,Pw02,0.1,Medium (11-25),36,HEK293,WT
SRB-0000033-001,Pw03,1.0,Low (2-10),32,HEK293,WT
SRB-0000033-001,Pw10MLN,10.0,Low (2-10),24,HEK293,WT
SRB-0000033-001,Pw10WT,0.1,Low (2-10),1,HEK293,WT
SRB-0000033-001,Pw10KO,1.0,Low (2-10),25,HEK293,WT
SRB-0000033-001,Pw11KO,1.0,Low (2-10),6,HEK293,WT
SRB-0000033-001,Pw11WT,10.0,Low (2-10),36,HEK293,WT
SRB-0000034-001,Pw00,0.1,High (>25),34,HEK293,WT
SRB-0000034-001,Pw01,1.0,Medium (11-25),14,HEK293,WT
SRB-0000034-001,Pw02,1.0,Low (2-10),10,HEK293,WT
SRB-0000034-001,Pw03,10.0,High (>25),34,HEK293,WT
SRB-0000034-001,Pw10MLN,10.0,Low (2-10),33,HEK293,WT
SRB-0000034-001,Pw10WT,10.0,Low (2-10),3,HEK293,WT
SRB-0000034-001,Pw10KO,0.1,Low (2-10),6,HEK293,WT
SRB-0000034-001,Pw11KO,0.1,Low (2-10),19,HEK293,WT
SRB-0000034-001,Pw11WT,10.0,Low (2-10),2,HEK293,WT
SRB-0000035-001,Pw00,0.1,Medium (11-25),20,HEK293,WT
SRB-0000035-001,Pw01,1.0,Silent,24,HEK293,WT
SRB-0000035-001,Pw02,0.1,Silent,18,HEK293,WT
SRB-0000035-001,Pw03,0.1,High (>25),9,HEK293,WT
SRB-0000035-001,Pw10MLN,0.1,Low (2-10),18,HEK293,WT
SRB-0000035-001,Pw10WT,10.0,Low (2-10),9,HEK293,WT
SRB-0000035-001,Pw10KO,0.1,Low (2-10),23,HEK293,WT
SRB-0000035-001,Pw11KO,1.0,Low (2-10),19,HEK293,WT
SRB-0000035-001,Pw11WT,0.1,Low (2-10),18,HEK293,WT
SRB-0000036-001,Pw00,1.0,Single (1),25,HEK293,WT
SRB-0000036-001,Pw01,1.0,High (>25),0,HEK293,WT
SRB-0000036-001,Pw02,0.1,Silent,7,HEK293,WT
SRB-0000036-001,Pw03,0.1,Silent,34,HEK293,WT
SRB-0000036-001,Pw10MLN,1.0,Low (2-10),0,HEK293,WT
SRB-0000036-001,Pw10WT,1.0,Low (2-10),32,HEK293,WT
SRB-0000036-001,Pw10KO,0.1,Low (2-10),34,HEK293,WT
SRB-0000036-001,Pw11KO,10.0,Low (2-10),22,HEK293,WT
SRB-0000036-001,Pw11WT,0.1,Low (2-10),13,HEK293,WT
SRB-0000037-001,Pw00,10.0,Silent,4,HEK293,WT
SRB-0000037-001,Pw01,0.1,Single (1),24,HEK293,WT
SRB-0000037-001,Pw02,0.1,Medium (11-25),4,HEK293,WT
SRB-0000037-001,Pw03,0.1,Single (1),31,HEK293,WT
SRB-0000037-001,Pw10MLN,0.1,Low (2-10),19,HEK293,WT
SRB-0000037-001,Pw10WT,1.0,Low (2-10),16,HEK293,WT
SRB-0000037-001,Pw10KO,0.1,Low (2-10),21,HEK293,WT
SRB-0000037-001,Pw11KO,10.0,Low (2-10),8,HEK293,WT
SRB-0000037-001,Pw11WT,0.1,Low (2-10),22,HEK293,WT
SRB-0000038-001,Pw00,10.0,High (>25),35,HEK293,WT
SRB-0000038-001,Pw01,1.0,Low (2-10),6,HEK293,WT
SRB-0000038-001,Pw02,1.0,Single (1),1,HEK293,WT
SRB-0000038-001,Pw03,10.0,High (>25),5,HEK293,WT
SRB-0000038-001,Pw10MLN,0.1,Low (2-10),25,HEK293,WT
SRB-0000038-001,Pw10WT,1.0,Low (2-10),9,HEK293,WT
SRB-0000038-001,Pw10KO,10.0,Low (2-10),3,HEK293,WT
SRB-0000038-001,Pw11KO,0.1,Low (2-10),32,HEK293,WT
SRB-0000038-001,Pw11WT,1.0,Low (2-10),30,HEK293,WT
SRB-0000039-001,Pw00,10.0,Silent,19,HEK293,WT
SRB-0000039-001,Pw01,10.0,Silent,34,HEK293,WT
SRB-0000039-001,Pw02,1.0,Silent,26,HEK293,WT
SRB-0000039-001,Pw03,10.0,Medium (11-25),31,HEK293,WT
SRB-0000039-001,Pw10MLN,0.1,Low (2-10),8,HEK293,WT
SRB-0000039-001,Pw10WT,1.0,Low (2-10),12,HEK293,WT
SRB-0000039-001,Pw10KO,1.0,Low (2-10),28,HEK293,WT
SRB-0000039-001,Pw11KO,1.0,Low (2-10),5,HEK293,WT
SRB-0000039-001,Pw11WT,10.0,Low (2-10),6,HEK293,WT
