gene,R2,nullR2,n,pearson_r,pearson_p,spearman_r,spearman_p
G_00078,0.4785734798738682,0.01164025307801615,104,0.25538548901137226,0.6968073360322502,0.9413647859056755,0.8978721552648182
G_00079,0.1881297865692501,0.04044772905585231,492,0.1596266411049303,0.2810123977209049,0.5916367654778942,0.8863455664697244
G_00080,0.005850492467681922,0.04169361887745954,48,-0.6866406516717447,0.7454660511411468,-0.34184552497294374,0.955291219584612
G_00081,0.14910093333741958,0.061378415102790164,365,0.8629985447179473,0.8968139052912371,0.7586847927056175,0.03832153675017058
G_00082,0.459253186899183,0.07747191705729989,443,0.6663076745623573,0.3562687075947437,0.6149389884673087,0.9991590025487339
G_00083,0.09282885559639616,0.01863560689551255,325,-0.6665050988362431,0.8779279531833845,0.07223398278046256,0.14535767840212843
G_00084,0.02924635062616978,0.09681678789237753,385,-0.019922502871230208,0.06405198569571735,0.875337384373567,0.532670309007025
G_00085,0.3326406368233587,0.04473670518322303,413,0.6924279974348653,0.6145168562455573,0.5371186526223792,0.16508795003391652
G_00086,0.518210251215339,0.09095872203945962,46,-0.867214302956121,0.3849373394316141,0.4375732869865758,0.4454811894628441
G_00087,0.4557595096228691,0.011767879256011506,482,0.42668464129691186,0.6621826179485139,-0.5335487422998553,0.5986024768821213
G_00088,0.12003322482880949,0.01889171036320595,254,-0.21786474342487439,0.13757011095511873,0.0552681175437062,0.7449581397972835
G_00089,0.007090261152370946,0.03079708408645564,300,-0.6957378406283496,0.2343630621520849,0.30213690974291474,0.07599286734769328
G_00090,0.23268135292764772,0.07624450867097217,85,-0.26210962788930114,0.6130841215375427,-0.6312672486307493,0.12922902703609007
G_00091,0.03387401329272681,0.05164957409429084,120,0.3708480011276847,0.2574140540455413,0.7046973296609231,0.2148369092837592
G_00092,0.05045162223411528,0.05640954387900581,301,0.6705715258083791,0.3702038021628298,0.8478569997160388,0.012450956682539371
G_00093,0.30637282361654444,0.07787889835615525,485,0.8760539875726134,0.3955339891854369,0.5847327568323573,0.40522418495013857
G_00094,0.277584789056035,0.09631449247295616,257,0.4023692821891809,0.0009912635788715818,0.30981347618843436,0.8147604090128787
G_00095,0.3679288491423721,0.05779491882949877,351,-0.39259968065921513,0.018037440502592816,-0.37027664256616966,0.2573845671929279
G_00096,0.1529793591205345,0.08650283490677409,394,0.5017823391066811,0.31368944700837487,0.466734910792713,0.09505437161965091
G_00097,0.37715158026295964,0.005089777356372016,29,0.33553530287783606,0.0894456308511935,0.4083319060912809,0.7113045488970784
G_00098,0.18810328371571075,0.09821185211643339,42,0.3715016527046213,0.13645249853188934,-0.4271830715672513,0.46255427633741675
G_00099,0.38432212676122124,0.07169564446910791,344,-0.24137906569391165,0.7187791330893809,-0.24190684502448212,0.300266875091021
G_00100,0.24802446634942588,0.01245626711276937,136,0.06279343187638231,0.3962785358319423,0.1667873880799704,0.36222945001123974
G_00101,0.5460471194297591,0.07279855008078596,142,0.38441351067359797,0.9929878435461332,0.6821788868943237,0.9621546849573684
G_00102,0.2060753208892884,0.08796708984979817,230,0.72375870903499,0.9298942872464409,0.7328924298633575,0.2077005987491053
G_00103,0.5405809288230311,0.05506449882115604,102,-0.8701235668220442,0.8795722517079969,0.5752633055175957,0.12920322288683495
G_00104,0.5366437802071298,0.025274506561925994,482,-0.0030051900874856763,0.3984977734768663,0.6734011753613629,0.401152667912994
G_00105,0.5577345327786088,0.03281852067059384,349,-0.9570879979421099,0.5055033654370671,-0.6941489082040244,0.13432085872196087
G_00106,0.5142427140320273,0.08078825219766328,326,0.35961282087935875,0.4333429951398553,-0.43619542145767065,0.5335819942559933
G_00107,0.19570521077478314,0.004121698469920843,183,0.5894387566648274,0.8344689159318703,-0.5993664203212632,0.5945233976040872
G_00108,0.19537059177410346,0.09790151405733526,347,-0.19649951681792444,0.1451165010952855,-0.6033337735723623,0.9132940950200549
G_00109,0.41493228585009045,0.08784787138072153,369,0.2297335064035979,0.9540716218949706,-0.443347187296655,0.6524024605321229
G_00110,0.39179113595181303,0.05842573704306101,304,0.006402385537336963,0.33600897811415675,-0.5975320027866919,0.2313666240845511
G_00111,0.114912451648438,0.004497624428294678,379,-0.8281191302574178,0.08400004637227299,-0.7346823815213603,0.870874285340657
G_00112,0.42650628655838835,0.011725344543803385,469,0.26806213744434104,0.6893226128451796,-0.6629584205042749,0.13171672466963713
G_00113,0.20399184154294764,0.08754451006768278,245,-0.34828422393817604,0.8997343635747249,-0.32275514800273886,0.35824330817090366
G_00114,0.32974870411166807,0.07309209905274444,63,0.9812486883449483,0.9192569286808153,0.18695819124266078,0.08298465792826581
G_00115,0.3422031826741153,0.09889106070697314,422,-0.813476748767878,0.9084265889134006,0.1638596659743763,0.23822768395448346
G_00116,0.007881394122721264,0.02373066923427987,400,-0.22068348216513423,0.7742525488188515,-0.004740289798861541,0.19853469503107857
G_00117,0.5804360727587504,0.09776026054925954,223,-0.7296595468356224,0.7235412856091051,-0.47148181840421133,0.8595443839139503
G_00118,0.15008684982631795,0.025508882450918303,54,0.3780106337078135,0.5088432523059625,0.5054606602351308,0.18020256214885366
G_00119,0.28357611635421537,0.006424002737304113,472,-0.3249295800431109,0.21980020545438372,0.3112668815678228,0.44122173490620475
G_00120,0.44378266077674516,0.018406401774908432,377,-0.4984072566176805,0.04640882910564481,0.491164728911335,0.3918304927697077
G_00121,0.29186648645267854,0.07815471932904677,310,-0.585989877616637,0.05459462297958584,-0.2825073637666491,0.555101947528547
G_00122,0.34154146890272186,0.06210617336866421,434,-0.6619988552658176,0.6963820193390693,0.29246846526247716,0.1884002963101048
G_00123,0.5646088808345169,0.05794750427179418,235,-0.8761290604902119,0.06437963668376256,-0.262892148995592,0.8970292159244809
G_00124,0.5623531198387426,0.04195038403759813,130,-0.283899668950486,0.00682251977504833,0.5720473524836354,0.1655749822002106
G_00125,0.016126890290042283,0.006871314175971754,411,-0.06323032550184804,0.19736836745783193,-0.1535848010621752,0.4005357991748283
G_00126,0.02082254495599878,0.04102313488570697,418,0.9851433834737384,0.965773823478928,0.2613715218060908,0.4165762172529047
G_00127,0.4667212380811854,0.004613658292115775,179,-0.5255007540960064,0.7501801691519006,0.5523559333553598,0.6319950502545358
G_00128,0.35674210968141157,0.026799906320878055,427,-0.2502529180469719,0.5993471522906317,-0.4672608184308227,0.8320260872861269
G_00129,0.5746988132034133,0.022880965093504447,321,0.46698062526548023,0.3346621991937968,-0.35862908523366466,0.0016640297470826848
G_00130,0.24944804278645905,0.05529450214304491,391,-0.5320738099136462,0.7693032601346577,0.49397772338952706,0.25063749096802423
G_00131,0.2807701666463666,0.06666082349849999,406,0.016084294423477807,0.261627973687087,-0.8134150927697212,0.9529301373601565
G_00132,0.263123007168612,0.08852347193870896,83,-0.30680549377039634,0.041696944683493053,0.4150689602448183,0.09081943314454011
G_00133,0.5148295955468796,0.08864082271306216,35,-0.6815280206839729,0.7768371742012462,0.7016112173769724,0.6790885042300436
G_00134,0.05118932425034865,0.05380187986752255,116,-0.26031716282559536,0.42780235071664274,-0.3066013657075555,0.10221473046341678
G_00135,0.3633010411411317,0.0746174961675924,387,-0.44022725258065076,0.7184791827215025,-0.8351506454669266,0.58214848739623
G_00136,0.4643879091322438,0.08140530541699592,198,0.5625691755855162,0.2756704804541944,0.8118793065737353,0.43085954464111553
G_00137,0.11203014098254475,0.09802379697778328,392,0.478145076425907,0.9937732190242524,-0.7963907739955698,0.44055716438256753
G_00138,0.5588975148452519,0.06313419715616718,480,0.5827611328451494,0.4341063509144949,0.7898350656506596,0.4856896549758304
G_00139,0.590202737230617,0.009209363355718059,220,0.012729842901329391,0.30815310384707184,-0.7173949475968775,0.2123720602838195
G_00140,0.5983730660739864,0.028433675298332406,346,0.7126450648594747,0.03771837050415583,-0.6774120021116419,0.06225287038658811
G_00141,0.07202585584689725,0.07446123897802503,185,-0.9724439525781354,0.02231084612770684,-0.0993628964781581,0.06431261672615651
G_00142,0.11413350848452852,0.02817785921569678,484,-0.9195883562585419,0.5739896919710322,-0.6372469251693043,0.6553813080631063
G_00143,0.3306206213924862,0.07046268794590897,47,0.5525071489880502,0.5932887472881782,0.8650600522584031,0.049062262178576566
G_00144,0.3437526578090853,0.05611082091916745,314,-0.003175960418734247,0.024371902194185946,-0.7184980808278314,0.22403653591498485
G_00145,0.5391445235690435,0.04966027206144387,302,0.03627757586248759,0.557041124585682,-0.09909609894895044,0.9525799286437636
G_00146,0.5356162573947727,0.09461913526191451,389,0.276187498032924,0.8695063856631038,0.552950532447875,0.8988005976221604
G_00147,0.011879373710285667,0.01726206914999381,301,-0.5480707952698607,0.6075222537445739,-0.14763267917711276,0.5700671206546638
G_00148,0.19620323827940853,0.0013810689278666245,310,0.7428804481689928,0.2446298068361139,-0.3538830244807736,0.509351240509161
G_00149,0.5219775520717951,0.027131450450948915,214,-0.490526159288841,0.025030467889155195,-0.7270273185271445,0.8894108372149392
G_00150,0.22659874701945015,0.05865191052196548,330,0.13225150650273898,0.9537557654745298,-0.9168082480220308,0.6651614472909744
G_00151,0.07972608559120598,0.014491361415818716,302,0.5139977118958341,0.45906550359462084,0.6922098029322477,0.4355339899326285
G_00152,0.39887507264239175,0.01497780360266664,279,0.4454175522025723,0.677885845830007,-0.3427513265090967,0.6560594897668601
G_00153,0.07167428575625918,0.006715001963879086,76,0.903889350558662,0.5841227480567572,0.5977333325490259,0.04593536452721081
G_00154,0.059357761436552046,0.06098050801281231,136,0.08816364110516339,0.13375066274847913,0.8364465609367884,0.02163912604092455
G_00155,0.18395486938556901,0.08279724577088957,109,0.20483883638085132,0.5009540841123171,-0.1335969643243835,0.3282220121482159
G_00156,0.1984087249230684,0.09721094272186373,143,0.8086817507521411,0.2840350448422976,0.10722805535858537,0.03155813241914884
G_00157,0.41227712978589903,0.03273346066237146,198,-0.7531411679669122,0.828918816760977,0.731069905738081,0.789487238071675
G_00158,0.42962253863741207,0.06180169926845805,483,-0.5519536772347682,0.7369296371133928,0.6133241334651713,0.6230050788722452
G_00159,0.2300113939215698,0.06860393748575808,237,0.2465019567595368,0.6239008021635961,0.9162630219650443,0.41624298798122583
G_00160,0.3297362980680296,0.07550932066689241,308,0.6391389101448415,0.8010533271466648,0.40090005959242947,0.8018368900185834
G_00161,0.3152884840214675,0.022663746245421768,239,0.7844545363116733,0.9481306017730948,0.627465758659925,0.4071542616377969
G_00162,0.30380793092702973,0.019508256595525776,468,0.883175808105358,0.19091397801314436,-0.6098160492697005,0.3272990975404799
G_00163,0.045251782683500164,0.002013092119272475,433,0.7049417344771138,0.7270168755158154,-0.24433982216115124,0.029277315685261707
G_00164,0.5879487675202266,0.054327155989825286,499,-0.335605719299491,0.7599693758819275,0.8637935103320618,0.18857006200417215
G_00165,0.18315791511433777,0.07928763052166549,157,0.07695110925466953,0.5626029653447494,-0.02898045839613994,0.3782998328255859
G_00166,0.501271526588082,0.011576261967022683,282,0.43740410177182576,0.08708089624017767,0.6106988208087698,0.6709416357118979
G_00167,0.4080295519635124,0.057855845995176305,55,0.7589092541119398,0.1508258645326861,-0.8831815566827466,0.6653269881840034
G_00168,0.36773296558760266,0.014089969413364168,389,-0.8967529179728388,0.5782825617842023,0.7614185385923411,0.7412093876514625
G_00169,0.23714252552005027,0.05395913567806864,240,-0.6659822755388016,0.6472086507540512,0.9174848209990427,0.506447938059589
G_00170,0.22318461312157006,0.055469803319458534,227,-0.45446632799714215,0.42877584140074243,-0.0934858556615743,0.4270576904932183
G_00171,0.3579932532287679,0.08657867483870293,489,0.2671480331254752,0.8374774860420829,-0.6920754092775523,0.1057154727587084
G_00172,0.4639961569863001,0.009635201148123863,259,0.83389891056489,0.41506284374247826,0.7764810446412018,0.12065437531297607
G_00173,0.22341184964668218,0.05675648771683686,288,0.6642009588721061,0.6729251835064768,-0.0002885304105946229,0.316973581687794
G_00174,0.364784929358267,0.03758304894945511,177,0.9427715524855034,0.5202238449637728,0.7100411362108006,0.7277990029471132
G_00175,0.4154051599526311,0.07705585771181686,329,-0.628929767871649,0.37311158481505435,0.4567177080444169,0.10902162708679264
G_00176,0.4891400199918229,0.09104389917153607,359,-0.3844559694577163,0.7976751771317048,0.38679273747740006,0.7461801129495397
G_00177,0.4817379677041569,0.05128778060528138,378,-0.5474897118391437,0.7041652406697407,-0.7630822830696873,0.3668667132139861
G_00178,0.5873265633016013,0.023595009994816687,464,-0.5748153714136257,0.7357899715736753,0.36295309632933215,0.10139430446528175
G_00179,0.11355154708367499,0.09718144210653445,475,0.5215401177528063,0.2864355723178361,0.9846723391545718,0.5134657357890904
G_00180,0.5578514263198993,0.08293181671035851,421,0.9048245273206723,0.5431794786912176,-0.27289849367560115,0.07209656294171907
G_00181,0.3964727364695802,0.02314688574001519,334,0.9415362152133533,0.8698812278795728,-0.7082144141928621,0.45912537790935193
G_00182,0.004507224266175313,0.05052702710354101,335,-0.5532669674722359,0.801525264266331,-0.3876516438684079,0.9748274276389443
G_00183,0.29310340027150467,0.04251673576699985,294,-0.5933087868694868,0.49661224495061285,0.560268156243692,0.1545210859153897
G_00184,0.2473987415383092,0.031144758053238342,416,0.1650228804920002,0.29527919136290326,-0.7672949769696102,0.31967247601917836
G_00185,0.25146965699856866,0.08737353200411956,280,0.08167390292018828,0.725067777185157,-0.7057580483114871,0.9967950687967302
G_00186,0.44542734389212973,0.09017510785463807,470,0.9061541428198099,0.02637357375543692,0.45588312427279964,0.15028932847261678
G_00187,0.08478456481038134,0.06990246407320314,484,0.35146189601016764,0.5386519720698525,-0.9736453663583573,0.6601492102461501
G_00188,0.5706062905917616,0.025922778739875852,48,-0.8413085682737531,0.4287942830645034,-0.6251423249974666,0.413691906657096
G_00189,0.08646240711972628,0.04345150963961345,368,-0.3798306624463914,0.7366619997207723,-0.3996485595378374,0.8257208046511443
G_00190,0.5387220819752062,0.023076895198711225,177,0.10646235234867918,0.5978264518133645,0.5715707473042779,0.8104216415657783
G_00191,0.06216984531449081,0.08544443681508931,409,0.6318803712301098,0.49673103217871895,0.06474183994465998,0.011149189479047528
G_00192,0.5507731168541756,0.06567048855031071,249,-0.07466703349341564,0.6272139556958298,0.48752490496332523,0.48418449122963436
G_00193,0.0714779952304269,0.07202373052008289,104,0.761733772371401,0.9253961809423068,0.689349126642687,0.7375505184465855
G_00194,0.40675138493159396,0.06267768133209803,22,-0.66633428753884,0.869758377967248,-0.6430989152159001,0.9896737258525389
G_00195,0.47751951394837666,0.02658119277255542,298,-0.6577630634054532,0.22510395841464392,0.9762056288566787,0.4265465812031535
G_00196,0.19596177618368027,0.010165168937113167,72,0.7310467840307697,0.01034501351386452,-0.9603961404589338,0.23275815968539404
G_00197,0.5926593673904108,0.06760578677963554,118,0.05268907341660389,0.8482149894539898,0.5944360619511739,0.9123566232931387
G_00198,0.5287105199823591,0.046884571759420304,165,-0.19483791150083563,0.7682411765206588,0.749498965171802,0.16553622074045848
G_00199,0.2821586490429568,0.008577532124853238,258,0.3739903385961296,0.15563332381705142,-0.20951665399654362,0.09808758016960295
G_00200,0.5203957025096144,0.08945525213881972,203,-0.33634982591439866,0.3339966835666357,0.28409760451873955,0.3240844123062764
G_00201,0.3406433121452508,0.01349355319407064,334,0.4991561099288828,0.6124951921507256,-0.2801607405863684,0.2630459867525359
G_00202,0.5909164816354799,0.027648962261952417,214,-0.8007651991408933,0.0283246914960259,-0.9843831800900382,0.5932079379986975
G_00203,0.5481848109467463,0.043377198595454185,254,0.6797633532002365,0.30315746455076875,0.43657764127190957,0.5299920604380469
G_00204,0.4337829822680337,0.06859271653905015,296,0.10453882464639874,0.504772018064709,-0.94528003485904,0.5064803298411787
G_00205,0.2654532370497555,0.09803371970974384,322,0.26381128596412373,0.22994912774374143,0.03224479999194507,0.7521709776714667
G_00206,0.27909944332567976,0.0440598091481904,341,-0.4946380042380396,0.1365263120651472,0.2834723322441417,0.02462917562793887
G_00207,0.008436544500240738,0.08858346668475486,270,0.032200262872092544,0.5396918912182668,0.43343505598636556,0.3731054562278139
G_00208,0.5313421320095943,0.008112960848217032,428,0.00469895702382872,0.5316395890077295,0.8520330157910958,0.7176413316020758
G_00209,0.5084445148545608,0.09887124817544674,89,-0.9787596018550861,0.07053424429042832,-0.06423417966533873,0.5377681687529413
G_00210,0.36997364090033524,0.0038176833660211852,294,-0.7823881461069788,0.8981682718155227,-0.14533762170976017,0.27089245829128905
G_00211,0.2971660809416093,0.062241076327826786,311,-0.3245466060212012,0.050847683255320075,0.18529313870205555,0.09532811008154063
G_00212,0.16751876604786353,0.06878749695875584,453,-0.24136510738443917,0.1908157577113866,-0.9828693127077384,0.9568201069101137
G_00213,0.4747044860007586,0.02834973172301615,163,0.9013921318085603,0.1674447278987785,-0.7764190252042402,0.9941062842595286
G_00214,0.39448473313905386,0.060577407153191626,417,0.9656087869872669,0.32079522461140253,0.6317606027810649,0.17299137862624225
G_00215,0.16675168703139054,0.004351129653061825,230,-0.38419739530127983,0.32903388903055897,0.4062490195750319,0.74195872266297
G_00216,0.5540616404059244,0.09384103929104105,247,-0.1979557831814096,0.4415014120873374,-0.17553590519975049,0.919609201478409
G_00217,0.31041204724444293,0.07913628183409858,334,-0.04087787414001132,0.20491573963585552,0.44128302563308797,0.5088198999328643
G_00218,0.22544793400155502,0.05501797176264798,362,0.9444353395042306,0.7224177070278324,0.526802753987067,0.7211289915575165
G_00219,0.38242649753378133,0.09946326746540754,107,-0.28098850365171923,0.4385256522053702,0.028238195624605167,0.2205592234866034
G_00220,0.5302414047254557,0.033625681200721215,127,0.7380458227738209,0.6885176853874893,-0.38593284961400376,0.5880124258184571
G_00221,0.4725426314700355,0.027686150178038684,387,-0.37053865556123133,0.7860201822402106,0.0077265387774458905,0.5601571699662142
G_00222,0.3925330461262225,0.04228059749900629,289,0.5284940534871891,0.9799493167670904,0.3718065643707058,0.4128922957648692
G_00223,0.3226561315637167,0.07450160785504771,413,-0.42047587775686,0.861769084753762,-0.699360623437119,0.8517101923497759
G_00224,0.23614314083714932,0.018218821480684023,488,0.06508691610642581,0.8902992800983681,0.2340669475250261,0.9067336376169192
G_00225,0.3001519013355869,0.008517185663577188,462,0.46114168473449113,0.8740660256410445,0.9256678593819798,0.602535293197202
